,Município,Estado,Prestadores,Serviços,Natureza Jurídica,QD011 - Quantidades de extravasamentos de esgotos registrados,QD012 - Duração dos extravasamentos registrados,QD021 - Quantidade de interrupções sistemáticas,QD022 - Duração das interrupções sistemáticas,QD023 - Quantidade de reclamações ou solicitações de serviços,QD024 - Quantidade de serviços executados,QD025 - Tempo total de execução dos serviços,POPULAÇÃO ESTIMADA
2800,Barreiros,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água e Esgoto,Sociedade de economia mista com administração pública,312.0,"46.056,00",,,1.111,1.106,"265.440,00",42659
2801,Belém de Maria,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,324,324,"20.563,00",12073
2802,Belém do São Francisco,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,307,307,"6.229,00",20729
2803,Belo Jardim,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26017040] Prefeitura Municipal de Belo Jardim - PMBJ,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,2.317,1.560,"374.400,00",76439
2804,Betânia,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,84,73,"17.520,00",12719
2805,Bezerros,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,3.759,3.724,"349.665,00",60798
2806,Bodocó,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26020011] Prefeitura Municipal de Bodocó - PMB | [26020040] Prefeitura Municipal de Bodocó - PMB,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,219.0,"645,00",,,897,889,"99.335,00",38146
2807,Bom Conselho,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,3.100,3.100,"91.928,00",48554
2808,Bom Jardim,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26022011] Prefeitura Municipal de Bom Jardim - PMBJ | [26022040] PREFEITURA MUNICIPAL DO BOM JARDIM - PMBJ,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,611,565,,39184
2809,Bonito,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26023040] Prefeitura Municipal de Bonito - PMB,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.261,1.261,"68.250,00",38134
2810,Brejão,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,186,186,"10.856,00",8993
2811,Brejinho,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26025011] Prefeitura Municipal de Brejinho - PMB | [26025040] PREFEITURA MUNICIPAL DE BREJINHO - PMB,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,84,84,,7487
2812,Brejo da Madre de Deus,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26026011] Prefeitura Municipal de Brejo da Madre de Deus - PMBMD | [26026040] Secretaria Municipal de Obras e Urbanismo - SOU,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,532.0,"6.290,00",,,1.883,1.856,"91.585,00",50742
2813,Buenos Aires,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,105,104,"22.649,00",13155
2814,Buíque,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26028040] Prefeitura Municipal de Buíque - PMB,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,491,491,"117.840,00",58378
2815,Cabo de Santo Agostinho,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26029040] Prefeitura Municipal do Cabo de Santo Agostinho - PMCSA,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,256.0,"17.560,00",,,4.410,4.058,"973.920,00",207048
2816,Cabrobó,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26030011] Prefeitura Municipal de Cabrobó - PMC | [26030040] Secretaria de Infraestrutua Urbana - SEINFRA,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,950.0,"280,00",,,1.207,1.160,,34221
2817,Cachoeirinha,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26031011] Prefeitura Municipal de Cachoeirinha - PMC | [26031040] Prefeitura Municipal de Cachoeirinha - PMC,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.046,1.015,,20380
2818,Caetés,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,589,589,"29.997,00",28739
2819,Calçado,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26033040] Prefeitura Municipal de Calçado - PMC,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,117,117,"7.560,00",11053
2820,Calumbi,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26034040] Prefeitura Municipal de Calumbi - PMC,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,52,52,"9.858,00",5750
2821,Camaragibe,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água e Esgoto,Sociedade de economia mista com administração pública,22.0,"1.476,00",,,4.480,4.248,"522.653,00",157828
2822,Camocim de São Félix,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,221,218,"52.320,00",18765
2823,Camutanga,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,32,32,"7.680,00",8551
2824,Canhotinho,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,349,349,"12.398,00",24804
2825,Capoeiras,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,567,567,"64.984,00",20048
2826,Carnaíba,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26039011] Prefeitura Municipal de Carnaíba - PMC | [26039040] PREFEITURA MUNICIPAL DE CARNAÍBA - PMC,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,481,481,"46.311,00",19551
2828,Carpina,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26040040] Prefeitura Municipal de Carpina - PMC,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.717,1.675,"402.000,00",83641
2829,Caruaru,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26041040] Prefeitura Municipal Caruaru - PMC,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,954.0,"100.824,00",,,36.588,36.043,"1.921.774,00",361118
2830,Casinhas,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26041540] Prefeitura Muncipal de Casinhas - PMC,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,125,122,"8.346,00",14341
2832,Cedro,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26043011] Prefeitura Municipal de Cedro - PMC | [26043040] Prefeitura Municipal de Cedro - PMC,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,20.0,"12,00",,,139,136,"333,00",11807
2833,Chã de Alegria,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,173,169,"40.560,00",13518
2834,Chã Grande,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26045011] Prefeitura Municipal de Chã Grande - PMCG | [26045040] Prefeitura Municipal de Chã Grande - PMCG,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,500.0,"12.000,00",,,1.240,1.233,,21698
2835,Condado,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26046040] Prefeitura Municipal de Condado - PMC,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,225,224,"22.800,00",26421
2836,Correntes,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26047040] Prefeitura Municipal de Correntes - PMC,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,874,874,"6.895,00",18207
2838,Cumaru,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,144,139,"33.360,00",10906
2839,Cupira,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26050011] Prefeitura Municipal de Cupira - PMC | [26050040] Prefeitura Municipal de Cupira - PMC,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.270,1.196,,24107
2840,Custódia,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,151,151,"36.240,00",37111
2841,Dormentes,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26051540] PREFEITURA MUNICIPAL DE DORMENTES - PMD,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,65.0,"15.600,00",,,231,228,"51.558,00",18908
2842,Escada,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,514,502,"23.007,00",68875
2843,Exu,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26053011] Prefeitura Municipal de Exu - PME | [26053040] Prefeitura Municipal de Exu - PME,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.186,1.164,"183.191,00",31825
2844,Feira Nova,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,359,359,"63.654,00",22131
2845,Fernando de Noronha,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26054540] Autarquia Territorial Distrito Estadual de Fernando de Noronha - ATDEFN,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Autarquia,15.0,"624,00",,,3.671,3.660,"75.115,00",3061
2846,Ferreiros,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,1.039,1.038,"80.467,00",12123
2847,Flores,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,584,584,"16.450,00",22624
2848,Floresta,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26057011] Prefeitura Municipal de Floresta - PMF | [26057040] PREFEITURA MUNICIPAL DE FLORESTA - PMF,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.478,1.374,,32873
2849,Frei Miguelinho,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,251,239,"47.597,00",15457
2851,Garanhuns,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água e Esgoto,Sociedade de economia mista com administração pública,465.0,"48.360,00",,,12.840,12.840,"1.298.865,00",139788
2852,Glória do Goitá,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,199,198,"47.520,00",30604
2853,Goiana,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,1.565,1.511,"362.640,00",79758
2854,Granito,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26063011] Prefeitura Municipal de Granito - PMG | [26063040] Prefeitura Municipal de Granito - PMG,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,6.0,"670,00",,,53,47,"10.420,00",7486
2855,Gravatá,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26064040] SECRETARIA DE INFRAESTRUTURA - SEINFRA,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Empresa pública,6.0,"528,00",,,6.586,6.039,"1.135.565,00",84074
2857,Ibimirim,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26066011] Prefeitura Municipal de Ibimirim - PMI | [26066040] Prefeitura Municipal de Ibimirim - PMI,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,18.0,"20,00",,,1.166,1.161,"163.378,00",29235
2858,Ibirajuba,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,140,138,"22.256,00",7762
2859,Igarassu,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26068040] Secretaria de Serviços Públicos - SSP,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,41.0,"2.678,00",,,2.941,2.880,"638.218,00",117019
2860,Iguaracy,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,40,40,"3.960,00",12228
2861,Ilha de Itamaracá,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,1.486,1.465,"342.809,00",26258
2863,Ingazeira,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26071040] PREFEITURA MUNICIPAL DE INGAZEIRA - PMI,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,22,22,"3.054,00",4548
2864,Ipojuca,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26072040] Secretaria de Infraestrutura e Serviço Municpais - SEINFRA,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,82.0,"6.484,00",,,2.369,2.327,"558.480,00",96204
2865,Ipubi,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água e Esgoto,Sociedade de economia mista com administração pública,33.0,"4.152,00",,,221,217,"52.080,00",30854
2866,Itacuruba,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,26,25,"2.873,00",4918
2867,Itaíba,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26075040] Prefeitura Municipal de Itaíba - PMI,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,401,401,"96.240,00",26349
2869,Itapetim,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26077040] Prefeitura Municipal de Itapetim - PMI,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,390,390,"4.657,00",13616
2870,Itapissuma,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,337,326,"78.240,00",26651
2871,Itaquitinga,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,74,74,"8.225,00",16955
2872,Jaboatão dos Guararapes,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26079040] SECRETARIA EXECUTIVA DE SERVIÇOS URBANOS - SESUDC,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,312.0,"17.379,01",,,11.472,10.918,"2.311.230,00",702298
2874,Jataúba,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,238,236,"8.134,00",17150
2875,Jatobá,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,8,8,"1.784,00",14796
2876,João Alfredo,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,570,548,"124.102,00",33822
2877,Joaquim Nabuco,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,87,86,"14.092,00",16023
2878,Jucati,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26082540] Prefeitura Municipal de Jucati - PMJ,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,131,131,"16.329,00",11424
2879,Jupi,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,9,9,"181,00",14836
2880,Jurema,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,672,672,"22.226,00",15378
2881,Lagoa de Itaenga,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,258,257,"59.027,00",21429
2882,Lagoa do Carro,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26084540] Prefeitura Municipal de Lagoa do Carro - PMLC,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,281,280,"61.567,00",18071
2883,Lagoa do Ouro,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26086040] SECRETARIA DE OBRAS E URBANISMO - SOU,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,147,147,"1.996,00",13145
2884,Lagoa dos Gatos,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,575,575,"33.596,00",16290
2885,Lagoa Grande,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26087511] Prefeitura Municipal de Lagoa Grande - PMLG | [26087540] PREFEITURA MUNICIPAL DE LAGOA GRANDE - PMLG/SEIMA,Esgotos | Água e Esgoto | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,110.0,"1.080,00",,,377,365,"62.848,00",25601
2886,Lajedo,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26088040] Prefeitura Municipal de Lajedo - PML,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,2.590,2.590,"320.295,00",40288
2887,Limoeiro,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,5.404,5.379,"147.513,00",56250
2888,Macaparana,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26090040] Prefeitura Municipal de Macaparana - PMM,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,378,376,"27.699,00",25376
2889,Machados,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26091040] Prefeitura Municipal de Machados - PMM,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,65,57,"13.680,00",16088
2890,Manari,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,221,221,"53.040,00",21434
2891,Maraial,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,145,145,"8.104,00",11345
2892,Mirandiba,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,144,139,"27.367,00",15390
2893,Moreilândia,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26143011] Prefeitura Municipal de Moreilândia - PMM | [26143040] Prefeitura Municipal de Moreilândia - PMM,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,911,904,"51.254,00",11270
2894,Moreno,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26094040] Prefeitura Municipal do Moreno - PMM,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,347.0,"17.148,00",,,3.735,3.635,"472.836,00",62784
2895,Nazaré da Mata,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água e Esgoto,Sociedade de economia mista com administração pública,187.0,"18.120,00",,,746,740,"177.600,00",32471
2896,Olinda,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26096040] SECRETARIA DE INFRAESTRUTURA DE OLINDA - SEINFRA,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,1.918,"73.759,60",,,31.666,30.777,"7.131.542,00",392482
2897,Orobó,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,767,750,"55.187,00",23884
2898,Orocó,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,204,201,"9.132,00",14991
2899,Ouricuri,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,1.761,1.757,"202.906,00",69459
2901,Palmeirina,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26101040] Prefeitura Municipal de Palmeirina - PMP,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,92,92,"2.087,00",7693
2902,Panelas,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26102011] Prefeitura Municipal de Panelas - PMP | [26102040] Prefeitura Municipal de Panelas - PMP,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,1.187,1.187,,26474
2903,Paranatama,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26103040] Prefeitura Municipal de Paranatama - PMP,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,45,45,"4.385,00",11523
2904,Parnamirim,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26104040] Prefeitura Municipal de Parnamirim - PMP,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,80.0,"4.872,00",,,363,362,"42.668,00",22010
2905,Passira,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26105040] Prefeitura Municipal de Passira - PMP,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,374,369,"88.560,00",28933
2906,Paudalho,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,848,823,"197.520,00",56506
2907,Paulista,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26107040] PREFEITURA MUNICIPAL DO PAULISTA - PMP,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,1.026,"45.518,80",,,16.078,15.172,"3.641.280,00",331774
2908,Pedra,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,217,217,"48.927,00",22617
2909,Pesqueira,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26109040] Prefeitura Municipal de Pesqueira - PMP,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,990,983,"235.920,00",67395
2910,Petrolândia,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,812,812,"11.189,00",36548
2911,Petrolina,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26111040] Prefeitura Municipal - PM,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,7.899,"408.408,00",,,27.011,26.032,"5.721.610,00",349145
2913,Pombos,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,540,468,"112.320,00",27091
2914,Primavera,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,100,100,"5.594,00",14966
2915,Quipapá,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,378,378,"13.245,00",26037
2916,Quixaba,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26115311] Prefeitura Municipal de Quixabá - PMQ | [26115340] Prefeitura Municipal de Quixaba - PMQ,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,110,110,"14.429,00",6813
2917,Recife,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26116040] Autarquia de Manutenção e Limpeza Urbana - EMLURB,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Autarquia,6.324,"273.971,60",,,47.872,46.114,"10.997.946,00",1645727
2918,Riacho das Almas,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26117011] Prefeitura Municipal de Riacho das Almas - PMRA | [26117040] Prefeitura Municipal de Riacho das Almas - Secretaria de Infraestutura - PMR,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,390.0,"2.340,00",,,2.386,2.291,"19.779,00",20546
2919,Ribeirão,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,699,698,"65.922,00",47415
2920,Rio Formoso,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26119040] Secretaria Municipal de Serviços Públicos - pmrf,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,116.0,"16.272,00",,,369,369,"79.771,00",23535
2921,Sairé,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,128,115,"26.399,00",9932
2922,Salgadinho,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,63,62,"14.880,00",10919
2923,Salgueiro,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26122040] PREFEITURA MUNICIPAL DO SALGUEIRO - PMS,Água e Esgoto | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,578.0,"11.664,00",,,4.065,4.036,"267.225,00",60930
2924,Saloá,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,283,283,"25.310,00",15843
2925,Sanharó,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26124040] Prefeitura Municipal de Sanharó - PMS,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,261,118,"28.320,00",26462
2926,Santa Cruz,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26124540] PREFEITURA MUNICIPAL DE SANTA CRUZ - PMSCPE,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,388,386,"14.485,00",15398
2928,Santa Cruz do Capibaribe,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26125011] Prefeitura Municipal de Santa Cruz do Capibaribe - PMSCC | [26125040] Secretaria de Serviços Públicos - SSP,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Empresa pública,,,,,14.037,13.877,,107937
2929,Santa Filomena,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26125511] Prefeitura Municipal de Santa Filomena - PMSF | [26125540] PREFEITURA MUNICIPAL DE SANTA FILOMENA - PMSF,Esgotos | Água | Res. Sólidos,Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta,,,,,70,70,"9.800,00",14477
2930,Santa Maria da Boa Vista,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,776,770,"154.130,00",41931
2931,Santa Maria do Cambucá,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA | [26127040] Secretaria Municipal de Saúde - SMS,Água | Res. Sólidos,Sociedade de economia mista com administração pública | Administração pública direta,,,,,91,83,"19.920,00",14137
2932,Santa Terezinha,PE,[26116000] Companhia Pernambucana de Saneamento - COMPESA,Água,Sociedade de economia mista com administração pública,,,,,365,365,"4.294,00",11815
